Predictor,Model 1_beta,Model 1_SE,Model 1_p,Model 1_sig,Model 2_beta,Model 2_SE,Model 2_p,Model 2_sig,Model 3_beta,Model 3_SE,Model 3_p,Model 3_sig,Model 4_beta,Model 4_SE,Model 4_p,Model 4_sig
Religiosity (%),-0.1201,0.0138,0.0,***,-0.1449,0.0212,0.0,***,-0.149,0.0216,0.0,***,-0.1496,0.0218,0.0,***
log GDP p.c.,,,,,-0.5904,0.3857,0.1281,,-0.221,0.5392,0.6825,,-0.2418,0.5478,0.6596,
Social support (%),,,,,,,,,-0.0875,0.0892,0.3286,,-0.0839,0.0907,0.3563,
Unemployment (%),,,,,,,,,,,,,0.0157,0.0645,0.8087,
Constant,17.3642,1.0351,0.0,***,24.1653,4.5612,0.0,***,28.3551,6.2511,0.0,***,28.1766,6.3147,0.0,***
R2,0.344,,,,0.355,,,,0.359,,,,0.359,,,
Adj_R2,0.34,,,,0.346,,,,0.346,,,,0.341,,,
F,76.11,,,,39.58,,,,26.7,,,,19.91,,,
N,147,,,,147,,,,147,,,,147.0,,,
